Campus Name,CCSF Entity,Lower Grade,Upper Grade,Grade Range,Category,Map Label,Lower Age,Upper Age,General Type,CDS Code,Campus Address,Supervisor District,County FIPS,County Name,Location 1
"Milk, Harvey Milk Childrens Center",SFUSD,-2,-1,PK,USD PreK,CDC095,3,4,CDC,,"841 ELLIS ST, SAN FRANCISCO CA 94117",6,06075,SAN FRANCISCO,POINT (-122.420105 37.783802)
Mckinley Elementary School,SFUSD,0,5,K-5,USD Grades K-5,PS075,5,10,PS,38684786041420,"1025 14TH ST, San Francisco, CA 94114",8,06075,SAN FRANCISCO,POINT (-122.436279 37.766884)
Jewish Community Center San Francisco - Rosenberg Early Childhood Center,Private,-2,-1,PK,Independent / Private,CDC058,3,4,CDC,380504700,"325 ARGUELLO BLVD, SAN FRANCISCO, CA 94118",1,06075,SAN FRANCISCO,POINT (-122.459488 37.784588)
Eureka Learning Center,Private,-2,-1,PK,Independent / Private,CDC035,3,4,CDC,38684787044605,"464 DIAMOND ST, SAN FRANCISCO, CA 94114",8,06075,SAN FRANCISCO,POINT (-122.437004 37.754967)
Noriega Early Education School,SFUSD,-2,5,PK-5,USD PreK/TK-5,PS085,3,10,PS,38684780117473,"1775 44TH AVE, San Francisco, CA 94122",4,06075,SAN FRANCISCO,POINT (-122.503654 37.753834)
Marin Preparatory School,Private,0,8,K-8,Independent / Private,IND271,5,13,IND,,"117 DIAMOND ST, SAN FRANCISCO, CA 94114",8,06075,SAN FRANCISCO,POINT (-122.436798 37.760124)
Montessori House Of Children,Private,0,1,K-1,Independent / Private,IND276,5,6,IND,380501318,"1187 FRANKLIN ST, SAN FRANCISCO, CA 94109",5,06075,SAN FRANCISCO,POINT (-122.423416 37.785046)
West Portal Lutheran School,Private,0,8,K-8,Independent / Private,IND337,5,13,IND,38684786980874,"200 SLOAT BLVD, SAN FRANCISCO, CA 94132",7,06075,SAN FRANCISCO,POINT (-122.473999 37.735092)
Economic Opportunity Council Sf - Delta Preschool,Private,-2,-1,PK,Independent / Private,CDC028,3,4,CDC,380504362,"300 LELAND AVE, SAN FRANCISCO, CA 94134",10,06075,SAN FRANCISCO,POINT (-122.409553 37.713379)
Teaching Tots Preschool,Private,-2,-1,PK,Independent / Private,CDC144,3,4,CDC,,"728 PACIFIC AVE STE 706, SAN FRANCISCO, CA 94133",3,06075,SAN FRANCISCO,POINT (-122.407471 37.797092)
